solver;algorithm;seed;instance;count;internal_runtm;hyper_time;decomp_time;solve_user_runtm;solve_sys_runtm;solve_mem;width;opt_weight;timeout;0
DynASP;(INVPRIM);3630735793;vertex_cover.lp_B01.lparse.undirected.bz2;3;0.01;0.01;0.02;0.05;0.0;15776;4;10;0;0
DynASP;(INVPRIM);4176834253;vertex_cover.lp_B01.lparse.undirected.bz2;3;0.01;0.02;0.01;0.05;0.0;15776;4;10;0;0
DynASP;(INVPRIM);554563280;vertex_cover.lp_B01.lparse.undirected.bz2;3;0.01;0.02;0.01;0.04;0.0;15792;4;10;0;0
DynASP;(INVPRIM);600817034;vertex_cover.lp_B01.lparse.undirected.bz2;3;0.01;0.02;0.01;0.05;0.0;15776;4;10;0;0
DynASP;(INC);0;vertex_cover.lp_B01.lparse.undirected.bz2;3;0.01;0.00;0.02;0.04;0.0;15696;4;10;0;0
DynASP;(INC);1881060079;vertex_cover.lp_B01.lparse.undirected.bz2;3;0.01;0.00;0.02;0.04;0.0;15696;4;10;0;0
DynASP;(INC);2156980077;vertex_cover.lp_B01.lparse.undirected.bz2;3;0.02;0.01;0.01;0.04;0.0;15712;4;10;0;0
DynASP;(INC);2460733895;vertex_cover.lp_B01.lparse.undirected.bz2;3;0.01;0.00;0.02;0.04;0.0;15696;4;10;0;0
DynASP;(INC);2987179023;vertex_cover.lp_B01.lparse.undirected.bz2;3;0.01;0.01;0.01;0.04;0.0;15680;4;10;0;0
DynASP;(INC);3025012838;vertex_cover.lp_B01.lparse.undirected.bz2;3;0.01;0.00;0.02;0.04;0.0;15696;4;10;0;0
DynASP;(INC);3630735793;vertex_cover.lp_B01.lparse.undirected.bz2;3;0.01;0.01;0.01;0.04;0.0;15696;4;10;0;0
DynASP;(INC);4176834253;vertex_cover.lp_B01.lparse.undirected.bz2;3;0.02;0.00;0.01;0.04;0.0;15712;4;10;0;0
DynASP;(INC);554563280;vertex_cover.lp_B01.lparse.undirected.bz2;3;0.02;0.00;0.01;0.04;0.0;15712;4;10;0;0
DynASP;(INC);600817034;vertex_cover.lp_B01.lparse.undirected.bz2;3;0.01;0.00;0.02;0.04;0.0;15696;4;10;0;0
DynASP;(PRIM);0;vertex_cover.lp_B03.lparse.undirected.bz2;2;0.07;0.06;0.05;0.17;0.01;25088;8;11;0;0
DynASP;(PRIM);1881060079;vertex_cover.lp_B03.lparse.undirected.bz2;2;0.11;0.05;0.04;0.21;0.0;28608;8;11;0;0
DynASP;(PRIM);2156980077;vertex_cover.lp_B03.lparse.undirected.bz2;2;0.15;0.04;0.05;0.25;0.01;34224;8;11;0;0
DynASP;(PRIM);2460733895;vertex_cover.lp_B03.lparse.undirected.bz2;2;0.2;0.04;0.05;0.3;0.0;31680;8;11;0;0
DynASP;(PRIM);2987179023;vertex_cover.lp_B03.lparse.undirected.bz2;2;0.09;0.04;0.05;0.18;0.01;25168;8;11;0;0
DynASP;(PRIM);3025012838;vertex_cover.lp_B03.lparse.undirected.bz2;2;0.14;0.05;0.04;0.24;0.0;27184;8;11;0;0
DynASP;(PRIM);3630735793;vertex_cover.lp_B03.lparse.undirected.bz2;2;0.14;0.05;0.04;0.24;0.0;31920;8;11;0;0
DynASP;(PRIM);4176834253;vertex_cover.lp_B03.lparse.undirected.bz2;2;0.1;0.04;0.05;0.19;0.0;23232;8;11;0;0
DynASP;(PRIM);554563280;vertex_cover.lp_B03.lparse.undirected.bz2;2;0.15;0.05;0.05;0.26;0.01;30672;8;11;0;0
DynASP;(PRIM);600817034;vertex_cover.lp_B03.lparse.undirected.bz2;2;0.11;0.04;0.05;0.21;0.01;26768;8;11;0;0
DynASP;(INVPRIM);0;vertex_cover.lp_B03.lparse.undirected.bz2;2;0.29;0.04;0.05;0.38;0.01;26496;8;11;0;0
DynASP;(INVPRIM);1881060079;vertex_cover.lp_B03.lparse.undirected.bz2;2;0.37;0.05;0.04;0.47;0.0;25984;8;11;0;0
DynASP;(INVPRIM);2156980077;vertex_cover.lp_B03.lparse.undirected.bz2;2;0.54;0.05;0.05;0.64;0.0;26224;8;11;0;0
DynASP;(INVPRIM);2460733895;vertex_cover.lp_B03.lparse.undirected.bz2;2;0.74;0.05;0.04;0.85;0.0;28320;8;11;0;0
DynASP;(INVPRIM);2987179023;vertex_cover.lp_B03.lparse.undirected.bz2;2;0.33;0.05;0.05;0.45;0.0;26496;8;11;0;0
