solver;algorithm;seed;instance;count;internal_runtm;hyper_time;decomp_time;solve_user_runtm;solve_sys_runtm;solve_mem;width;opt_weight;timeout;0
DynASP;(PRIM);1881060079;vertex_cover_better.lp_C99.lparse.undirected.bz2;33031659090;0.29;0.22;0.22;0.76;0.0;34608;6;0;0;0
DynASP;(PRIM);2156980077;vertex_cover_better.lp_C99.lparse.undirected.bz2;33031659090;0.14;0.21;0.22;0.58;0.0;31776;6;0;0;0
DynASP;(PRIM);2460733895;vertex_cover_better.lp_C99.lparse.undirected.bz2;33031659090;0.16;0.21;0.23;0.61;0.0;30544;6;0;0;0
DynASP;(PRIM);2987179023;vertex_cover_better.lp_C99.lparse.undirected.bz2;33031659090;0.14;0.20;0.23;0.59;0.0;32480;6;0;0;0
DynASP;(PRIM);3025012838;vertex_cover_better.lp_C99.lparse.undirected.bz2;33031659090;0.16;0.22;0.22;0.6;0.01;32464;6;0;0;0
DynASP;(PRIM);3630735793;vertex_cover_better.lp_C99.lparse.undirected.bz2;33031659090;0.2;0.20;0.21;0.62;0.0;35024;6;0;0;0
DynASP;(PRIM);4176834253;vertex_cover_better.lp_C99.lparse.undirected.bz2;33031659090;0.16;0.21;0.22;0.59;0.0;30464;6;0;0;0
DynASP;(PRIM);554563280;vertex_cover_better.lp_C99.lparse.undirected.bz2;33031659090;0.18;0.21;0.22;0.62;0.0;34416;6;0;0;0
DynASP;(PRIM);600817034;vertex_cover_better.lp_C99.lparse.undirected.bz2;33031659090;0.26;0.20;0.28;0.75;0.01;34416;6;0;0;0
DynASP;(INVPRIM);0;vertex_cover_better.lp_C99.lparse.undirected.bz2;33031659090;0.19;0.20;0.21;0.61;0.0;25136;6;0;0;0
DynASP;(INVPRIM);1881060079;vertex_cover_better.lp_C99.lparse.undirected.bz2;33031659090;0.21;0.20;0.22;0.64;0.0;26528;6;0;0;0
DynASP;(INVPRIM);2156980077;vertex_cover_better.lp_C99.lparse.undirected.bz2;33031659090;0.17;0.20;0.21;0.59;0.0;23600;6;0;0;0
DynASP;(INVPRIM);2460733895;vertex_cover_better.lp_C99.lparse.undirected.bz2;33031659090;0.13;0.20;0.22;0.56;0.0;23712;6;0;0;0
DynASP;(INVPRIM);2987179023;vertex_cover_better.lp_C99.lparse.undirected.bz2;33031659090;0.15;0.20;0.24;0.6;0.0;24544;6;0;0;0
DynASP;(INVPRIM);3025012838;vertex_cover_better.lp_C99.lparse.undirected.bz2;33031659090;0.15;0.20;0.22;0.58;0.01;24512;6;0;0;0
DynASP;(INVPRIM);3630735793;vertex_cover_better.lp_C99.lparse.undirected.bz2;33031659090;0.23;0.20;0.22;0.66;0.0;27216;6;0;0;0
DynASP;(INVPRIM);4176834253;vertex_cover_better.lp_C99.lparse.undirected.bz2;33031659090;0.14;0.26;0.26;0.66;0.0;23680;6;0;0;0
DynASP;(INVPRIM);554563280;vertex_cover_better.lp_C99.lparse.undirected.bz2;33031659090;0.25;0.24;0.27;0.78;0.0;25968;6;0;0;0
DynASP;(INVPRIM);600817034;vertex_cover_better.lp_C99.lparse.undirected.bz2;33031659090;0.17;0.20;0.22;0.6;0.0;25952;6;0;0;0
DynASP;(INC);0;vertex_cover_better.lp_C99.lparse.undirected.bz2;33031659090;0.32;0.07;0.21;0.6;0.01;39808;6;0;0;0
DynASP;(INC);1881060079;vertex_cover_better.lp_C99.lparse.undirected.bz2;33031659090;0.29;0.07;0.23;0.59;0.0;41296;6;0;0;0
DynASP;(INC);2156980077;vertex_cover_better.lp_C99.lparse.undirected.bz2;33031659090;0.38;0.06;0.22;0.66;0.01;41456;6;0;0;0
DynASP;(INC);2460733895;vertex_cover_better.lp_C99.lparse.undirected.bz2;33031659090;0.17;0.06;0.24;0.49;0.0;35152;6;0;0;0
DynASP;(INC);2987179023;vertex_cover_better.lp_C99.lparse.undirected.bz2;33031659090;0.17;0.05;0.21;0.45;0.0;36320;6;0;0;0
DynASP;(INC);3025012838;vertex_cover_better.lp_C99.lparse.undirected.bz2;33031659090;0.29;0.06;0.22;0.57;0.0;41888;6;0;0;0
DynASP;(INC);3630735793;vertex_cover_better.lp_C99.lparse.undirected.bz2;33031659090;0.24;0.05;0.23;0.54;0.0;35024;6;0;0;0
DynASP;(INC);4176834253;vertex_cover_better.lp_C99.lparse.undirected.bz2;33031659090;0.23;0.06;0.21;0.52;0.0;34752;6;0;0;0
